ITER,NUM_THREADS,DEFAULT_TICKS_PER_SLOT,RECV_BATCH_MAX_CPU,ITER_BATCH_SIZE,DEFAULT_HASHES_PER_SECOND,DEFAULT_TICKS_PER_SECOND,AVERAGE_TPS_BENCH1,AVERAGE_DROPRATE_BENCH1,REAL_TIME_RATE_BENCH1,USER_TIME_RATE_BENCH1,SYS_TIME_RATE_BENCH1
0.0,3.0,70.0,1056.0,1120.0,1996970.0,152.0,23.239319,0.0,15535.0,163.0,130.0
0.0,3.0,65.0,871.0,989.0,2190909.0,138.0,22.669012,0.0,15335.0,238.0,53.0
0.0,3.0,67.0,929.0,856.0,2227273.0,163.0,22.954075,0.0,15360.0,242.0,70.0
0.0,3.0,67.0,947.0,1105.0,2239394.0,142.0,22.667814,0.0,15586.0,232.0,90.0
0.0,3.0,63.0,1011.0,1071.0,1948485.0,173.0,23.522,0.0,15064.0,198.0,110.0
0.0,3.0,57.0,1035.0,986.0,2263636.0,136.0,23.093416,0.0,15669.0,217.0,93.0
0.0,3.0,53.0,986.0,1135.0,2063636.0,153.0,23.667181,0.0,15075.0,254.0,66.0
0.0,3.0,72.0,1077.0,1053.0,2215152.0,170.0,23.236725,0.0,15089.0,222.0,92.0
0.0,3.0,62.0,877.0,850.0,2166667.0,143.0,26.76533,0.0,14382.0,200.0,80.0
0.0,3.0,63.0,1059.0,1102.0,1918182.0,167.0,23.5229,0.0,15363.0,219.0,101.0
0.0,3.0,56.0,862.0,1108.0,1912121.0,152.0,23.38375,0.0,15389.0,174.0,134.0
0.0,3.0,54.0,962.0,1111.0,2039394.0,145.0,23.523552,0.0,15114.0,240.0,91.0
0.0,3.0,55.0,1068.0,968.0,1845455.0,158.0,26.938967,0.0,14079.0,199.0,95.0
0.0,3.0,73.0,1108.0,926.0,1815152.0,169.0,23.237738,0.0,15061.0,252.0,65.0
0.0,3.0,67.0,1065.0,905.0,2293939.0,144.0,23.097818,0.0,15335.0,253.0,68.0
0.0,3.0,68.0,1141.0,883.0,2275758.0,181.0,23.379114,0.0,15104.0,239.0,84.0
0.0,3.0,56.0,1026.0,1008.0,1754545.0,183.0,23.948406,0.0,15090.0,226.0,89.0
0.0,3.0,71.0,1041.0,959.0,2075758.0,177.0,23.237566,0.0,15426.0,180.0,127.0
0.0,3.0,60.0,1008.0,1020.0,2009091.0,174.0,23.52136,0.0,15320.0,261.0,63.0
0.0,3.0,60.0,1098.0,886.0,2233333.0,164.0,23.377556,0.0,15088.0,212.0,75.0
0.0,3.0,60.0,995.0,953.0,2209091.0,172.0,23.662788,0.0,15328.0,194.0,127.0
0.0,3.0,55.0,886.0,977.0,1851515.0,161.0,23.804752,0.0,15074.0,144.0,153.0
0.0,3.0,69.0,1105.0,1005.0,2196970.0,140.0,22.807804,0.0,15584.0,223.0,83.0
0.0,3.0,59.0,1150.0,1065.0,2130303.0,164.0,23.521193,0.0,15331.0,217.0,112.0
0.0,3.0,64.0,905.0,1141.0,2021212.0,174.0,23.52083,0.0,15403.0,216.0,105.0
0.0,4.0,53.0,856.0,1059.0,2142424.0,136.0,23.096325,0.0,15423.0,214.0,107.0
0.0,4.0,60.0,980.0,932.0,2033333.0,145.0,27.101631,0.0,14479.0,224.0,84.0
0.0,4.0,69.0,977.0,1132.0,1700000.0,160.0,23.09386,0.0,15350.0,248.0,71.0
0.0,4.0,72.0,1126.0,1050.0,2027273.0,141.0,22.954372,0.0,15610.0,170.0,144.0
0.0,4.0,64.0,1002.0,1138.0,1893939.0,179.0,23.523779,0.0,15168.0,196.0,137.0
0.0,4.0,58.0,1089.0,1017.0,1718182.0,166.0,23.379204,0.0,15047.0,216.0,92.0
0.0,4.0,61.0,1117.0,923.0,1742424.0,140.0,22.9521,0.0,15335.0,236.0,72.0
0.0,4.0,66.0,956.0,1083.0,1778788.0,172.0,23.52211,0.0,15463.0,258.0,56.0
0.0,4.0,71.0,1092.0,1080.0,2136364.0,152.0,23.093569,0.0,15585.0,219.0,97.0
0.0,4.0,67.0,880.0,1062.0,1984848.0,163.0,23.094511,0.0,15420.0,158.0,139.0
0.0,4.0,61.0,889.0,1129.0,1730303.0,183.0,23.66285,0.0,15087.0,197.0,112.0
0.0,4.0,54.0,1032.0,1126.0,2160606.0,155.0,23.943794,0.0,15309.0,199.0,111.0
0.0,4.0,68.0,926.0,1086.0,1748485.0,139.0,22.669703,0.0,15610.0,180.0,129.0
0.0,4.0,64.0,1147.0,1089.0,2287879.0,178.0,23.525827,0.0,15329.0,215.0,83.0
0.0,4.0,68.0,1083.0,1044.0,1906061.0,171.0,23.521025,0.0,15365.0,242.0,64.0
0.0,4.0,72.0,1050.0,1056.0,1821212.0,151.0,26.43825,0.0,14150.0,244.0,58.0
0.0,4.0,57.0,1062.0,1002.0,1881818.0,171.0,27.771618,0.0,14328.0,246.0,46.0
0.0,4.0,65.0,1080.0,962.0,1954545.0,176.0,23.523552,0.0,15132.0,221.0,92.0
0.0,4.0,56.0,983.0,1147.0,1900000.0,173.0,23.80941,0.0,15082.0,279.0,33.0
0.0,4.0,65.0,1132.0,974.0,2172727.0,182.0,23.52225,0.0,15422.0,249.0,54.0
0.0,4.0,68.0,865.0,1098.0,2124242.0,155.0,23.094065,0.0,15310.0,248.0,40.0
0.0,4.0,69.0,1047.0,877.0,1930303.0,162.0,23.098326,0.0,15320.0,172.0,137.0
0.0,4.0,62.0,1102.0,1092.0,1942424.0,150.0,23.522976,0.0,15341.0,235.0,70.0
0.0,4.0,55.0,914.0,1035.0,1887879.0,154.0,31.878813,0.0,13184.0,188.0,94.0
0.0,4.0,70.0,1029.0,971.0,1796970.0,159.0,22.953787,0.0,15434.0,234.0,54.0
0.0,4.0,56.0,971.0,1029.0,2203030.0,161.0,23.52569,0.0,15062.0,258.0,34.0
0.0,4.0,71.0,1086.0,965.0,2112121.0,166.0,22.956295,0.0,15341.0,253.0,60.0
0.0,4.0,64.0,898.0,908.0,2057576.0,170.0,23.664915,0.0,15080.0,172.0,131.0
0.0,4.0,57.0,953.0,1123.0,2069697.0,158.0,23.376816,0.0,15348.0,232.0,53.0
0.0,4.0,58.0,1135.0,902.0,1875758.0,165.0,23.379185,0.0,15447.0,218.0,77.0
0.0,4.0,61.0,868.0,1026.0,1827273.0,138.0,22.950706,0.0,15369.0,201.0,80.0
0.0,4.0,70.0,1017.0,853.0,2100000.0,147.0,22.947891,0.0,15311.0,220.0,64.0
0.0,4.0,61.0,920.0,1038.0,2045455.0,144.0,26.775211,0.0,14695.0,178.0,104.0
0.0,4.0,69.0,938.0,998.0,2118182.0,149.0,23.100218,0.0,15352.0,198.0,109.0
0.0,4.0,54.0,950.0,944.0,2178788.0,169.0,24.092962,0.0,15083.0,236.0,73.0
0.0,4.0,58.0,917.0,956.0,2093939.0,149.0,23.383884,0.0,15358.0,185.0,118.0
0.0,4.0,62.0,853.0,911.0,1712121.0,142.0,22.951204,0.0,15594.0,151.0,129.0
0.0,4.0,58.0,1074.0,914.0,2251515.0,181.0,21.27942,0.15,14067.0,268.0,1.0
0.0,4.0,72.0,968.0,874.0,1839394.0,165.0,22.955557,0.0,15094.0,165.0,122.0
0.0,4.0,65.0,1111.0,871.0,2269697.0,137.0,22.809744,0.0,15621.0,219.0,77.0
0.0,4.0,59.0,1120.0,938.0,2015152.0,157.0,23.667183,0.0,15387.0,209.0,76.0
0.0,4.0,55.0,908.0,920.0,1863636.0,168.0,23.951395,0.0,15046.0,234.0,69.0
0.0,4.0,60.0,1044.0,917.0,2221212.0,148.0,23.378733,0.0,15056.0,203.0,87.0
0.0,4.0,65.0,883.0,1077.0,2257576.0,180.0,25.86112,0.0,14426.0,198.0,99.0
0.0,4.0,68.0,911.0,983.0,2281818.0,154.0,23.097155,0.0,15365.0,236.0,61.0
0.0,4.0,62.0,998.0,862.0,2106061.0,141.0,22.95197,0.0,15359.0,161.0,136.0
0.0,4.0,54.0,874.0,950.0,1972727.0,179.0,24.237757,0.0,15057.0,210.0,79.0
0.0,4.0,57.0,1023.0,868.0,2300000.0,160.0,23.38091,0.0,15295.0,195.0,99.0
0.0,4.0,66.0,1020.0,1068.0,1966667.0,175.0,23.524672,0.0,15318.0,186.0,100.0
0.0,4.0,73.0,1144.0,941.0,1857576.0,184.0,23.238937,0.0,15350.0,260.0,50.0
0.0,5.0,62.0,1095.0,859.0,1978788.0,146.0,23.38033,0.0,15338.0,247.0,39.0
0.0,5.0,67.0,850.0,935.0,1869697.0,156.0,23.093939,0.0,15184.0,227.0,69.0
0.0,5.0,57.0,895.0,995.0,1803030.0,180.0,24.237751,0.0,15052.0,161.0,141.0
0.0,5.0,71.0,1114.0,1023.0,2148485.0,159.0,22.953432,0.0,15352.0,159.0,142.0
0.0,5.0,66.0,1005.0,1047.0,1790909.0,148.0,26.603998,0.0,14329.0,249.0,37.0
0.0,5.0,66.0,902.0,1114.0,1766667.0,156.0,26.441252,0.0,14069.0,154.0,127.0
0.0,5.0,66.0,992.0,980.0,1990909.0,146.0,23.523645,0.0,15329.0,269.0,31.0
0.0,5.0,55.0,959.0,1041.0,1924242.0,143.0,23.522654,0.0,15379.0,235.0,58.0
0.0,5.0,70.0,974.0,992.0,2245455.0,137.0,22.668926,0.0,15310.0,238.0,49.0
0.0,5.0,58.0,859.0,1117.0,1724242.0,139.0,22.95035,0.0,15451.0,198.0,123.0
